Incident Number,Customer Query,IT Support Response,Assigned Team,Resolution,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00000,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team E,Reopened,High,24 Hours,2023-12-12,2023-12-15,3
INC00001,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team C,Resolved,High,24 Hours,2023-12-14,2023-12-15,1
INC00002,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Closed,Critical,4 Hours,2023-12-15,2023-12-18,3
INC00003,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team C,Escalated,Low,1 Week,2023-12-24,2023-12-26,2
INC00004,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team E,Pending,Medium,3 Days,2023-12-20,2023-12-23,3
INC00005,Antivirus software not detecting malware,Ensure your antivirus is up to date and run a full system scan.,Team B,Resolved,Medium,3 Days,2023-12-17,2023-12-22,5
INC00006,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team A,Resolved,Low,1 Week,2023-11-19,2023-11-21,2
INC00007,Software installation failed with error code,Can you provide the specific error code you are seeing?,Team C,Resolved,Critical,4 Hours,2023-12-24,2023-12-26,2
INC00008,Error messages when updating a software,Please send the exact error messages for further diagnosis.,Team C,Closed,Medium,3 Days,2023-12-22,2023-12-27,5
INC00009,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team A,Pending,High,24 Hours,2023-12-17,2023-12-19,2
INC00010,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team F,Escalated,High,24 Hours,2023-11-27,2023-11-28,1
INC00011,Cannot find license key for software,The license key should be in your purchase confirmation email.,Team C,Reopened,Low,1 Week,2023-11-23,2023-11-26,3
INC00012,Cannot connect to database from application,Check if the database service is running and accessible.,Team D,Closed,Critical,4 Hours,2023-12-27,2023-12-28,1
INC00013,Application is freezing during use,Try reinstalling the application and check if your system meets its requirements.,Team E,Resolved,High,24 Hours,2023-12-27,2023-12-28,1
INC00014,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team A,Closed,High,24 Hours,2023-11-29,2023-12-01,2
INC00015,Cannot connect to database from application,Check if the database service is running and accessible.,Team F,Closed,Critical,4 Hours,2023-12-12,2023-12-15,3
INC00016,Cannot connect to database from application,Check if the database service is running and accessible.,Team B,Reopened,Critical,4 Hours,2023-12-01,2023-12-04,3
INC00017,Cannot connect to database from application,Check if the database service is running and accessible.,Team E,Closed,Critical,4 Hours,2023-11-24,2023-11-26,2
INC00018,Software X is incompatible with my OS,Check if there are any updates for Software X or your operating system.,Team C,Escalated,High,24 Hours,2023-12-06,2023-12-07,1
