Incident Number,Customer Query,IT Support Response,Assigned Team,Resolution,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00000,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Pending,Medium,3 Days,2023-12-29,2024-01-04,6
INC00001,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Pending,High,24 Hours,2023-12-20,2023-12-23,3
INC00002,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Pending,Critical,4 Hours,2023-12-10,2023-12-12,2
INC00003,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Medium,3 Days,2024-01-04,2024-01-10,6
INC00004,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Resolved,Medium,3 Days,2023-12-17,2023-12-23,6
INC00005,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Resolved,High,24 Hours,2024-01-07,2024-01-09,2
INC00006,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Escalated,Medium,3 Days,2023-12-30,2024-01-04,5
INC00007,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Pending,Critical,4 Hours,2024-01-04,2024-01-05,1
INC00008,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Closed,Medium,3 Days,2023-12-24,2023-12-29,5
INC00009,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Closed,High,24 Hours,2024-01-07,2024-01-11,4
INC00010,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Escalated,Medium,3 Days,2023-12-19,2023-12-26,7
INC00011,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Pending,High,24 Hours,2024-01-08,2024-01-11,3
INC00012,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Resolved,Medium,3 Days,2023-12-14,2023-12-21,7
INC00013,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Resolved,Medium,3 Days,2023-12-18,2023-12-23,5
INC00014,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Resolved,Low,1 Week,2024-01-02,2024-01-10,8
INC00015,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Resolved,Medium,3 Days,2023-12-21,2023-12-25,4
INC00016,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Escalated,Critical,4 Hours,2023-12-22,2023-12-23,1
INC00017,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Resolved,Low,1 Week,2023-12-21,2024-01-02,12
INC00018,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Closed,High,24 Hours,2023-12-13,2023-12-16,3
INC00019,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Escalated,High,24 Hours,2024-01-01,2024-01-05,4
INC00020,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,Medium,3 Days,2023-12-14,2023-12-21,7
INC00021,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Pending,Medium,3 Days,2023-12-15,2023-12-20,5
INC00022,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,Medium,3 Days,2023-12-10,2023-12-15,5
INC00023,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Escalated,Low,1 Week,2023-12-14,2023-12-28,14
INC00024,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Closed,High,24 Hours,2023-12-22,2023-12-26,4
INC00025,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Closed,High,24 Hours,2024-01-07,2024-01-11,4
INC00026,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Closed,High,24 Hours,2023-12-15,2023-12-19,4
INC00027,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team D,Resolved,Low,1 Week,2024-01-02,2024-01-11,9
INC00028,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Resolved,Low,1 Week,2023-12-14,2023-12-23,9
INC00029,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Resolved,Low,1 Week,2023-12-29,2024-01-09,11
INC00030,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Closed,Low,1 Week,2023-12-21,2024-01-01,11
INC00031,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Resolved,Critical,4 Hours,2024-01-08,2024-01-10,2
INC00032,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Escalated,High,24 Hours,2023-12-20,2023-12-22,2
INC00033,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Closed,Medium,3 Days,2024-01-06,2024-01-10,4
INC00034,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Resolved,High,24 Hours,2023-12-11,2023-12-14,3
INC00035,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,Medium,3 Days,2023-12-24,2023-12-28,4
INC00036,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Escalated,Low,1 Week,2023-12-18,2023-12-31,13
INC00037,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2023-12-13,2023-12-15,2
INC00038,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Pending,Critical,4 Hours,2024-01-04,2024-01-06,2
INC00039,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Pending,Low,1 Week,2023-12-13,2023-12-26,13
INC00040,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Resolved,Low,1 Week,2023-12-31,2024-01-07,7
INC00041,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Pending,Medium,3 Days,2024-01-02,2024-01-07,5
INC00042,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Pending,Medium,3 Days,2023-12-27,2024-01-01,5
INC00043,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Pending,Medium,3 Days,2023-12-25,2023-12-31,6
INC00044,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Critical,4 Hours,2023-12-23,2023-12-25,2
INC00045,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Closed,Medium,3 Days,2023-12-11,2023-12-15,4
INC00046,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Resolved,High,24 Hours,2024-01-03,2024-01-07,4
INC00047,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Escalated,Low,1 Week,2023-12-29,2024-01-08,10
INC00048,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Pending,High,24 Hours,2024-01-06,2024-01-09,3
INC00049,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Medium,3 Days,2024-01-01,2024-01-07,6
INC00050,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Closed,Critical,4 Hours,2024-01-06,2024-01-08,2
INC00051,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Pending,Critical,4 Hours,2024-01-04,2024-01-06,2
INC00052,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Pending,High,24 Hours,2023-12-20,2023-12-22,2
INC00053,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team D,Escalated,Medium,3 Days,2023-12-10,2023-12-17,7
INC00054,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Escalated,High,24 Hours,2023-12-10,2023-12-12,2
INC00055,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Escalated,Low,1 Week,2023-12-16,2023-12-27,11
INC00056,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Medium,3 Days,2023-12-23,2023-12-29,6
INC00057,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Escalated,Medium,3 Days,2023-12-11,2023-12-15,4
INC00058,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Pending,High,24 Hours,2024-01-03,2024-01-07,4
INC00059,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Closed,Low,1 Week,2023-12-15,2023-12-28,13
INC00060,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Resolved,Medium,3 Days,2023-12-30,2024-01-03,4
INC00061,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Pending,High,24 Hours,2023-12-21,2023-12-25,4
INC00062,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Pending,Medium,3 Days,2023-12-12,2023-12-17,5
INC00063,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Escalated,High,24 Hours,2024-01-03,2024-01-05,2
INC00064,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Resolved,Low,1 Week,2024-01-08,2024-01-20,12
INC00065,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Escalated,Critical,4 Hours,2024-01-09,2024-01-11,2
INC00066,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team B,Pending,Medium,3 Days,2024-01-03,2024-01-10,7
INC00067,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Closed,Low,1 Week,2024-01-05,2024-01-12,7
INC00068,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Resolved,High,24 Hours,2024-01-02,2024-01-06,4
INC00069,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,Medium,3 Days,2023-12-28,2024-01-04,7
INC00070,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Pending,Medium,3 Days,2023-12-22,2023-12-27,5
INC00071,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Closed,High,24 Hours,2023-12-16,2023-12-18,2
INC00072,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Escalated,High,24 Hours,2023-12-20,2023-12-22,2
INC00073,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Resolved,Medium,3 Days,2023-12-31,2024-01-06,6
INC00074,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Pending,Critical,4 Hours,2023-12-10,2023-12-11,1
INC00075,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Resolved,Medium,3 Days,2024-01-04,2024-01-11,7
INC00076,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Resolved,Medium,3 Days,2023-12-30,2024-01-03,4
INC00077,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team B,Escalated,Medium,3 Days,2023-12-24,2023-12-28,4
INC00078,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Medium,3 Days,2023-12-19,2023-12-26,7
INC00079,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Resolved,High,24 Hours,2023-12-27,2023-12-30,3
INC00080,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team D,Pending,Critical,4 Hours,2023-12-29,2023-12-31,2
INC00081,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Pending,Critical,4 Hours,2023-12-31,2024-01-02,2
INC00082,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Escalated,Critical,4 Hours,2023-12-11,2023-12-13,2
INC00083,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Closed,High,24 Hours,2023-12-26,2023-12-29,3
INC00084,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Escalated,Low,1 Week,2023-12-17,2023-12-28,11
INC00085,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Pending,Critical,4 Hours,2023-12-24,2023-12-26,2
INC00086,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team D,Closed,High,24 Hours,2023-12-26,2023-12-30,4
INC00087,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Pending,Medium,3 Days,2023-12-11,2023-12-17,6
INC00088,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Closed,Medium,3 Days,2023-12-19,2023-12-24,5
INC00089,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Escalated,High,24 Hours,2023-12-29,2024-01-02,4
INC00090,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Closed,High,24 Hours,2023-12-21,2023-12-24,3
INC00091,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team D,Escalated,Medium,3 Days,2023-12-10,2023-12-15,5
INC00092,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team A,Closed,Low,1 Week,2024-01-05,2024-01-19,14
INC00093,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team D,Pending,Low,1 Week,2023-12-25,2024-01-04,10
INC00094,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Escalated,High,24 Hours,2024-01-07,2024-01-10,3
INC00095,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Pending,Medium,3 Days,2023-12-29,2024-01-05,7
INC00096,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Escalated,Medium,3 Days,2023-12-26,2024-01-01,6
INC00097,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Closed,Medium,3 Days,2024-01-07,2024-01-12,5
INC00098,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team C,Escalated,Low,1 Week,2023-12-20,2023-12-29,9
INC00099,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team A,Pending,Low,1 Week,2023-12-11,2023-12-23,12
INC00100,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team B,Closed,Low,1 Week,2024-01-05,2024-01-18,13
INC00101,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Escalated,Medium,3 Days,2023-12-26,2024-01-02,7
INC00102,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Escalated,High,24 Hours,2023-12-16,2023-12-20,4
INC00103,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team D,Pending,Medium,3 Days,2023-12-11,2023-12-17,6
INC00104,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Closed,High,24 Hours,2024-01-05,2024-01-07,2
INC00105,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Pending,High,24 Hours,2024-01-03,2024-01-05,2
INC00106,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team A,Escalated,Medium,3 Days,2023-12-23,2023-12-30,7
INC00107,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Pending,High,24 Hours,2023-12-25,2023-12-27,2
INC00108,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team A,Pending,High,24 Hours,2023-12-24,2023-12-26,2
INC00109,I'm facing issues with installing a software,Ensure you have the necessary permissions and the correct installer version.,Team C,Pending,Medium,3 Days,2023-12-24,2023-12-30,6
INC00110,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Resolved,Critical,4 Hours,2024-01-09,2024-01-11,2
INC00111,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team C,Closed,High,24 Hours,2023-12-13,2023-12-17,4
INC00112,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team C,Closed,Low,1 Week,2023-12-18,2023-12-30,12
INC00113,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team B,Pending,Critical,4 Hours,2023-12-30,2024-01-01,2
INC00114,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team C,Escalated,High,24 Hours,2023-12-27,2023-12-30,3
INC00115,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Closed,Medium,3 Days,2023-12-25,2023-12-30,5
INC00116,The software I use is running very slowly,Check if your system meets the minimum requirements for the software.,Team D,Resolved,Low,1 Week,2023-12-17,2023-12-24,7
