Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time
INC00000,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Low,24 Hours
INC00001,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Hardware,Medium,24 Hours
INC00002,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Storage,High,24 Hours
INC00003,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Hardware,Medium,1 Week
INC00004,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Storage,Critical,3 Days
INC00005,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Networking,Critical,1 Week
INC00006,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Hardware,High,24 Hours
INC00007,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Storage,Medium,3 Days
INC00008,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Hardware,Critical,1 Week
INC00009,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Critical,1 Week
INC00010,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Storage,High,4 Hours
INC00011,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,Low,1 Week
INC00012,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Medium,3 Days
INC00013,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Software,Critical,1 Week
INC00014,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Networking,Low,24 Hours
INC00015,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Software,Medium,24 Hours
INC00016,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Storage,Critical,24 Hours
INC00017,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Closed,Storage,Critical,24 Hours
INC00018,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Critical,4 Hours
INC00019,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,Low,1 Week
INC00020,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,Critical,4 Hours
INC00021,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Hardware,Medium,4 Hours
INC00022,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,High,1 Week
INC00023,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Software,High,4 Hours
INC00024,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,Medium,1 Week
INC00025,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Hardware,High,4 Hours
INC00026,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Pending,Networking,Medium,3 Days
INC00027,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Hardware,Low,24 Hours
INC00028,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Storage,Critical,4 Hours
INC00029,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Networking,Critical,24 Hours
INC00030,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Storage,Medium,3 Days
INC00031,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Storage,Low,3 Days
INC00032,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Low,4 Hours
INC00033,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Hardware,Low,24 Hours
INC00034,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Networking,Low,3 Days
INC00035,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Networking,High,24 Hours
INC00036,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Networking,Medium,4 Hours
INC00037,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Networking,Medium,24 Hours
INC00038,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Storage,Critical,3 Days
INC00039,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Hardware,Low,1 Week
INC00040,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,High,3 Days
INC00041,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Networking,Critical,24 Hours
INC00042,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Storage,High,4 Hours
INC00043,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Storage,High,24 Hours
INC00044,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Hardware,Critical,4 Hours
INC00045,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Storage,Low,3 Days
INC00046,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Hardware,Medium,1 Week
INC00047,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Medium,24 Hours
INC00048,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Networking,Low,24 Hours
INC00049,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Closed,Storage,Low,24 Hours
INC00050,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Pending,Networking,High,4 Hours
INC00051,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Software,Low,3 Days
INC00052,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Pending,Storage,High,4 Hours
INC00053,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Hardware,Low,24 Hours
INC00054,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Software,Low,4 Hours
INC00055,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Low,24 Hours
INC00056,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Software,Low,4 Hours
INC00057,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Hardware,Medium,24 Hours
INC00058,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Escalated,Hardware,Critical,3 Days
INC00059,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Storage,Critical,4 Hours
INC00060,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Hardware,Medium,1 Week
INC00061,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,High,4 Hours
INC00062,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Hardware,Medium,24 Hours
INC00063,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Critical,4 Hours
INC00064,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Networking,High,3 Days
INC00065,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Networking,High,1 Week
INC00066,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,High,1 Week
INC00067,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Networking,High,4 Hours
INC00068,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Storage,Medium,3 Days
INC00069,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Storage,Critical,3 Days
INC00070,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Software,Low,4 Hours
INC00071,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Networking,Low,24 Hours
INC00072,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,High,3 Days
INC00073,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Hardware,Low,1 Week
INC00074,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Hardware,Low,24 Hours
INC00075,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Software,High,1 Week
INC00076,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Hardware,High,4 Hours
INC00077,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,Critical,24 Hours
INC00078,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,Medium,24 Hours
INC00079,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Escalated,Hardware,High,24 Hours
INC00080,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,High,24 Hours
INC00081,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Hardware,Low,3 Days
INC00082,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Software,Critical,1 Week
INC00083,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Hardware,Critical,4 Hours
INC00084,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Software,Low,4 Hours
INC00085,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Hardware,High,4 Hours
INC00086,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Software,High,4 Hours
INC00087,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Resolved,Software,Medium,3 Days
INC00088,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Software,Medium,24 Hours
INC00089,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Hardware,Medium,1 Week
INC00090,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Storage,Critical,3 Days
INC00091,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Escalated,Hardware,Medium,4 Hours
INC00092,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,Low,1 Week
INC00093,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Hardware,High,1 Week
INC00094,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Storage,Medium,24 Hours
INC00095,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Software,Low,24 Hours
INC00096,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,Medium,1 Week
INC00097,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Hardware,Critical,4 Hours
INC00098,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Software,Low,4 Hours
INC00099,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Hardware,High,24 Hours
INC00100,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Software,Medium,3 Days
INC00101,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Medium,24 Hours
INC00102,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,Medium,4 Hours
INC00103,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Software,Medium,24 Hours
INC00104,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Storage,Medium,4 Hours
INC00105,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Low,1 Week
INC00106,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Escalated,Hardware,Low,1 Week
INC00107,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Software,Critical,24 Hours
INC00108,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,High,24 Hours
INC00109,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Networking,Low,4 Hours
INC00110,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Software,Critical,4 Hours
INC00111,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Hardware,Medium,4 Hours
INC00112,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Networking,Critical,1 Week
INC00113,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Networking,High,24 Hours
INC00114,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Hardware,Critical,3 Days
INC00115,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Hardware,Low,3 Days
INC00116,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Closed,Networking,Medium,24 Hours
INC00117,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Hardware,Low,1 Week
INC00118,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Hardware,Low,4 Hours
INC00119,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Storage,Low,4 Hours
INC00120,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Medium,24 Hours
INC00121,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Storage,Critical,24 Hours
INC00122,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Storage,Critical,4 Hours
INC00123,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Resolved,Software,High,1 Week
INC00124,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Storage,Low,1 Week
INC00125,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,Low,1 Week
INC00126,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Closed,Networking,Medium,3 Days
INC00127,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Medium,3 Days
INC00128,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Escalated,Networking,Low,1 Week
INC00129,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Pending,Software,Low,24 Hours
INC00130,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Storage,Low,3 Days
INC00131,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Storage,Medium,24 Hours
INC00132,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Networking,Medium,3 Days
