Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00000,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Medium,3 Days,2023-12-29,2024-01-06,8
INC00001,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Networking,High,24 Hours,2023-12-19,2023-12-31,12
INC00002,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Escalated,Hardware,High,24 Hours,2024-01-09,2024-01-20,11
INC00003,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Software,Critical,4 Hours,2024-01-09,2024-01-13,4
INC00004,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Software,Critical,4 Hours,2023-12-23,2023-12-31,8
INC00005,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,High,24 Hours,2024-01-01,2024-01-15,14
INC00006,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Networking,Low,1 Week,2023-12-25,2024-01-02,8
INC00007,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Hardware,Critical,4 Hours,2023-12-21,2023-12-21,0
INC00008,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,High,24 Hours,2023-12-23,2023-12-28,5
INC00009,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Software,High,24 Hours,2023-12-25,2024-01-01,7
INC00010,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Storage,Critical,4 Hours,2023-12-23,2023-12-26,3
INC00011,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,High,24 Hours,2023-12-17,2023-12-24,7
INC00012,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Storage,Critical,4 Hours,2023-12-17,2023-12-18,1
INC00013,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Medium,3 Days,2023-12-16,2023-12-18,2
