Incident Number,Customer Query,IT Support Response,Assigned Team,Resolution,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00000,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Escalated,Medium,3 Days,2023-12-23,2024-01-02,10
INC00001,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team B,Closed,Low,1 Week,2024-01-04,2024-01-05,1
INC00002,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team B,Escalated,Critical,4 Hours,2023-12-30,2024-01-08,9
INC00003,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team A,Escalated,Critical,4 Hours,2023-12-25,2023-12-28,3
INC00004,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team B,Resolved,High,24 Hours,2023-12-22,2023-12-28,6
INC00005,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team A,Pending,High,24 Hours,2023-12-28,2024-01-04,7
INC00006,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Escalated,High,24 Hours,2023-12-10,2023-12-15,5
INC00007,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Escalated,Medium,3 Days,2023-12-25,2024-01-02,8
INC00008,I am unable to log in to my application,"Make sure you're using the correct username and password, and check if caps lock is off.",Team C,Resolved,High,24 Hours,2023-12-15,2023-12-19,4
INC00009,My email client keeps crashing,Please check for any updates available for the email client and install them.,Team D,Resolved,High,24 Hours,2023-12-14,2023-12-18,4
INC00010,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team A,Escalated,High,24 Hours,2023-12-27,2024-01-01,5
INC00011,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Closed,Medium,3 Days,2023-12-30,2024-01-12,13
INC00012,I can't find my product key for the software,The product key is usually in the purchase confirmation email or on the software box.,Team B,Resolved,Medium,3 Days,2023-12-16,2023-12-19,3
INC00013,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Escalated,Medium,3 Days,2024-01-04,2024-01-19,15
INC00014,My application settings keep resetting,Ensure you have the latest version of the app and you save the settings before closing.,Team C,Closed,Medium,3 Days,2023-12-18,2023-12-30,12
INC00015,There's a strange error message when I open a program,Please send us the error message so we can investigate further.,Team A,Pending,Medium,3 Days,2024-01-02,2024-01-02,0
INC00016,My antivirus software is not updating,Try restarting your system and then update the antivirus software.,Team C,Escalated,Critical,4 Hours,2023-12-15,2023-12-24,9
